TeamName,League,Season,Division,Franchise,Team,W,L,%,Year
Chicago Bulls,,(2017-18),Central Division,Chicago Bulls,CHI,27,55,32.90%,2017
Miami Heat,,(2017-18),Southeast Division,Miami Heat,MIA,44,38,53.70%,2017
Washington Wizards,,(2017-18),Southeast Division,Washington Wizards,WAS,43,39,52.40%,2017
Charlotte Hornets,,(2017-18),Southeast Division,Charlotte Hornets,CHO,36,46,43.90%,2017
Orlando Magic,,(2017-18),Southeast Division,Orlando Magic,ORL,25,57,30.50%,2017
Atlanta Hawks,,(2017-18),Southeast Division,Atlanta Hawks,ATL,24,58,29.30%,2017
Golden State Warriors,,(2017-18),Pacific Division,Golden State Warriors,GSW,58,24,70.70%,2017
Los Angeles Clippers,,(2017-18),Pacific Division,Los Angeles Clippers,LAC,42,40,51.20%,2017
Los Angeles Lakers,,(2017-18),Pacific Division,Los Angeles Lakers,LAL,35,47,42.70%,2017
Sacramento Kings,,(2017-18),Pacific Division,Sacramento Kings,SAC,27,55,32.90%,2017
Phoenix Suns,,(2017-18),Pacific Division,Phoenix Suns,PHO,21,61,25.60%,2017
Portland Trail Blazers,,(2017-18),Northwest Division,Portland Trail Blazers,POR,49,33,59.80%,2017
Oklahoma City Thunder,,(2017-18),Northwest Division,Oklahoma City Thunder,OKC,48,34,58.50%,2017
Utah Jazz,,(2017-18),Northwest Division,Utah Jazz,UTA,48,34,58.50%,2017
Minnesota Timberwolves,,(2017-18),Northwest Division,Minnesota Timberwolves,MIN,47,35,57.30%,2017
Denver Nuggets,,(2017-18),Northwest Division,Denver Nuggets,DEN,46,36,56.10%,2017
Houston Rockets,,(2017-18),Southwest Division,Houston Rockets,HOU,65,17,79.30%,2017
New Orleans Pelicans,,(2017-18),Southwest Division,New Orleans Pelicans,NOP,48,34,58.50%,2017
San Antonio Spurs,,(2017-18),Southwest Division,San Antonio Spurs,SAS,47,35,57.30%,2017
Dallas Mavericks,,(2017-18),Southwest Division,Dallas Mavericks,DAL,24,58,29.30%,2017
Memphis Grizzlies,,(2017-18),Southwest Division,Memphis Grizzlies,MEM,22,60,26.80%,2017
