Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Bruce Seals,SEA,10.3,-3.3,-0.4,1.6,1.41,1978
Tom Abernethy,LAL,15.6,1.4,1.1,4.1,2.37,1978
Kent Benson,MIL,13.2,-0.9,0.4,1.7,-0.59,1978
John Williamson,NJN,18.5,-1.4,0.2,2.8,-4.89,1978
Joe Meriweather,NOJ,13.7,-0.2,0.6,2.6,-1.61,1978
Al Skinner,DET,10.0,-2.4,-0.1,1.3,-1.14,1978
Lloyd Walton,MIL,11.3,-3.9,-0.6,1.1,-0.59,1978
Ernie Grunfeld,MIL,12.0,-2.0,0.0,1.4,-0.59,1978
Joe Bryant,PHI,12.6,-0.4,0.5,2.2,4.36,1978
Brian Taylor,DEN,11.6,-1.2,0.2,1.8,0.75,1978
Darnell Hillman,NJN,14.6,-1.1,0.3,2.0,-4.89,1978
Howard Porter,NJN,18.3,-1.4,0.2,3.9,-4.89,1978
John Kuester,KCK,12.2,-3.1,-0.3,1.9,-1.55,1978
Bo Ellis,DEN,9.1,-1.8,0.1,1.1,0.75,1978
Cedric Maxwell,BOS,17.8,1.4,1.0,4.2,-1.68,1978
Mike Newlin,HOU,16.0,-0.6,0.4,1.8,-3.66,1978
Lloyd Neal,POR,19.8,0.6,0.8,4.3,5.56,1978
Toby Knight,NYK,12.2,-3.1,-0.3,1.6,-0.47,1978
Ed Ratleff,HOU,11.5,-0.6,0.4,1.0,-3.66,1978
Tom Boswell,BOS,12.9,-0.7,0.4,2.7,-1.68,1978
Mike Green,SAS,14.3,-0.8,0.3,2.2,2.9,1978
Larry Steele,POR,13.8,-0.8,0.3,3.0,5.56,1978
Ron Behagen,IND,13.5,-2.8,-0.2,1.1,-2.13,1978
Rickey Green,GSW,9.3,-3.4,-0.4,0.3,0.35,1978
Jim Price,DEN,11.2,-1.2,0.2,1.3,0.75,1978
Charlie Scott,BOS,12.3,-1.9,0.0,0.8,-1.68,1978
Bill Willoughby,BUF,10.9,-3.0,-0.3,1.2,-3.25,1978
John Lambert,CLE,10.8,-1.7,0.1,1.5,0.45,1978
Eddie Jordan,NJN,16.6,0.7,0.7,1.8,-4.89,1978
Bob Carrington,NJN,8.3,-2.9,-0.2,0.4,-4.89,1978
Glen Gondrezick,NYK,10.1,-1.9,0.0,0.9,-0.47,1978
Kevin Stacom,BOS,12.0,-4.1,-0.5,0.8,-1.68,1978
Wally Walker,SEA,12.5,-2.3,-0.1,1.9,1.41,1978
Mack Calvin,DEN,14.0,-3.9,-0.5,1.8,0.75,1978
Mike Flynn,IND,11.6,-2.9,-0.2,0.8,-2.13,1978
Adrian Dantley,IND,23.4,4.0,1.4,4.5,-2.13,1978
Mike Glenn,BUF,14.3,-2.5,-0.1,1.9,-3.25,1978
Phil Chenier,WSB,14.8,-1.9,0.0,1.8,0.7,1978
Greg Ballard,WSB,14.1,-1.0,0.2,2.0,0.7,1978
Mike Bratz,PHO,9.5,-4.2,-0.5,0.4,3.02,1978
Tony Robertson,ATL,10.6,-2.9,-0.2,0.5,-0.09,1978
Mark Landsberger,CHI,14.5,-2.0,0.0,1.9,-0.79,1978
Curtis Rowe,BOS,9.7,-3.4,-0.3,0.9,-1.68,1978
Bayard Forrest,PHO,12.2,-0.3,0.4,1.4,3.02,1978
Larry McNeill,BUF,16.0,-1.4,0.1,2.2,-3.25,1978
Tom LaGarde,DEN,8.2,-4.7,-0.6,0.4,0.75,1978
